Country,ISO3.Code,LAT,LON,markets,commodities,GatherMonthMajor,ProdPlusStockVariation.1992,ProdPlusStockVariation.1993,ProdPlusStockVariation.1994,ProdPlusStockVariation.1995,ProdPlusStockVariation.1996,ProdPlusStockVariation.1997,ProdPlusStockVariation.1998,ProdPlusStockVariation.1999,ProdPlusStockVariation.2000,ProdPlusStockVariation.2001,ProdPlusStockVariation.2002,ProdPlusStockVariation.2003,ProdPlusStockVariation.2004,ProdPlusStockVariation.2005,ProdPlusStockVariation.2006,ProdPlusStockVariation.2007,ProdPlusStockVariation.2008,ProdPlusStockVariation.2009,ProdPlusStockVariation.2010,ProdPlusStockVariation.2011,ProdPlusStockVariation.2012,ProdPlusStockVariation.2013
Northern America,CAN,57.7487688035733,-101.569822125212,market,wheat,6,31241036,27234492,29255619,24886059,24860420,26319570,25871814,24625177,26433866,25161492,20579017,19388076,24493930,22299191,26714509,23968557,22272008,26396775,24689440,23971241,25647757,28267491
South America,ARG,-35.2201719959357,-65.149543390921,market,wheat,12,16151802,15597511,12723408,19424656,5837657,21903163,23305276,15628583,19122966,22126602,22796625,15827624,23588654,28138229,20434446,20027940,31373774,20972747,14144091,27910341,35918334,16633481
Central Asia,KAZ,48.1916620924959,67.2846086074656,market,wheat,9,10885000,13647155,12220630,13956871,13492131,15776746,13919558,14276133,16939172,15675245,19326051,22081270,19876080,20439839,23540870,25601476,23255280,24050720,24947775,23552191,25724109,24215095
Western Asia,TUR,38.990729727953,35.3921024579343,market,wheat,7,30464907,26763248,30429700,28192941,26367000,23526658,25221374,25775192,27232057,31006206,31135241,31225340,31206967,31253218,31868679,28577929,24340397,26886364,28854661,25857429,24922044,28120611
Eastern Europe,UKR,48.9730179682021,31.3695330803563,market,wheat,7,42753547,38924622,47610684,49648509,40176479,41933258,46622287,45689168,36852638,45045631,52058995,30382281,43065596,49808199,45113768,39437695,54959867,58039309,50593088,49867761,52695958,59013604
Northern Europe,GBR,53.8833587148482,-2.65799297938563,market,wheat,8,21138608,21268969,22746632,22744761,24569509,26261537,25944988,24646007,26114037,24501858,24065487,26900962,25645281,26749418,25566764,25567605,27193119,27828297,29458594,27328257,26956812,24102842
Western Europe,FRA,46.6064633728632,2.33908864602935,market,wheat,7,51791731,55377273,53420577,57553370,55879148,55446694,58389666,60427001,64337063,63069903,60857480,58703322,59942708,66916279,68533259,59223499,68819002,68564674,67138444,66508564,59038751,67185546
Oceania,AUS,-25.5607640622395,134.376078573618,market,wheat,1,12035164,13663249,16368409,12258868,18579051,23910255,20123862,21760478,22963836,20793340,20660488,15546638,24956210,21128150,22734345,13686679,16159191,20791733,23540012,24009940,30420369,24873082
Russian Federation,RUS,61.6925647074082,99.2165267869251,market,wheat,7,43416700,41554244,34615779,32182763,34903859,34137207,36995213,30995150,34550360,46994941,45619356,39132493,45429379,47710341,44952521,48782075,63640781,61583342,41917836,48681018,45719640,47590796
India,IND,22.9250064074085,79.5937037632538,market,wheat,4,57649504,58210100,59840000,64767400,63097400,64350200,66345000,68287504,75368896,74680896,76766304,74760800,73096200,69652452,68216274,74810371,80570200,79179400,82353600,82744000,86166667,93513333
Pakistan,PAK,29.9734600255474,69.4139980631813,market,wheat,5,15125953,15144139,16895125,15740368,16789138,17492332,18056633,17604109,20290477,20469129,20540430,21376209,20722468,20310164,21831148,22302163,20489627,20282704,23014566,27363254,25158908,24879337
United States of America,USA,39.5015541259931,-99.0602406280213,market,wheat,7,63198123,67782685,64054401,64667913,64943095,57024630,62464214,61616290,62076922,56076725,53088871,58610910,63465598,59402945,54559754,61608378,60930945,50838284,55520049,62301431,60493150,63388942
China,CPR,36.6094323800447,103.865365256658,market,wheat,7,98669585,105215353,104190340,101290449,104727758,111492391,111399928,112060799,110889315,110837947,108917806,108839212,97910141,100907387,105780539,107959915,104751049,105193401,109077970,123137361,120692141,120096622

