Country,ISO3.Code,LAT,LON,Value.Misc.1992,Value.Misc.1993,Value.Misc.1994,Value.Misc.1995,Value.Misc.1996,Value.Misc.1997,Value.Misc.1998,Value.Misc.1999,Value.Misc.2000,Value.Misc.2001,Value.Misc.2002,Value.Misc.2003,Value.Misc.2004,Value.Misc.2005,Value.Misc.2006,Value.Misc.2007,Value.Misc.2008,Value.Misc.2009,Value.Misc.2010,Value.Misc.2011,Value.Misc.2012,Value.Misc.2013
Northern America,CAN,57.7487688035733,-101.569822125212,171202,162802,140288,157936,162923,141846,202877,246359,292697,299407,305873,262225,238483,177795,123789,369361,456508,797622,874165,695422,803461,688245
South America,BRA,-10.8067736434989,-53.0543400357671,1029331,1051142,1129470,1103277,1249444,1153197,1258839,1332897,1277286,1547486,1504677,1516949,1488308,1420085,1507273,1554838,1653890,1492660,1657816,1557425,1498606,1611680
Central Asia,UZB,41.7486026646522,63.2036395282317,2160513,1621516,863560,803779,887475,1128369,989963,1236674,1358900,1362659,1469140,1516256,1539248,1757708,2018503,2120138,1913075,2165755,2316713,2604233,2039177,1994206
Eastern Europe,POL,52.1482602193319,19.3110143084487,4160762,5088891,4689781,3646522,2809529,3060112,2913344,2763656,2741563,3079297,3279487,2726263,4368202,3268891,3046485,3300862,4944970,3162266,3825536,3997018,3525501,5115860
Northern Europe,GBR,53.8833587148482,-2.65799297938563,1669292,1557965,1739592,1946241,2380975,2001419,1891275,1592226,2284329,1687335,2145218,1689472,1734141,1584460,1764542,1913850,2571979,2116995,2456898,2248920,2084764,2324106
Western Europe,NLD,52.2987003744418,5.5122171009654,2838467,2757975,3061454,3238370,3375753,3739773,4025640,4229473,4253456,4552470,4633000,4988732,5104117,6017486,6900772,6547573,6606079,8193680,8233007,8605368,8821492,9246470
Oceania,NZL,-43.9858177329728,170.513011374997,624395,719895,698703,805961,895432,865809,862356,871695,978692,960221,890894,1241993,1044026,1140477,892144,966990,1077675,1124411,1150119,1311436,1394288,1360172
Russian Federation,RUS,61.6925647074082,99.2165267869251,2294391,1729760,1037599,1340671,923707,313671,538746,1238086,1688209,1249508,1219359,586614,1454134,1026027,868335,1314148,1138122,1350048,869247,1113345,945502,1355790
India,IND,22.9250064074085,79.5937037632538,1669999,1716000,1795002,1973002,1860000,2080002,1990000,2138999,2291191,2240466,2304165,2243879,2927894,2788184,3771701,3924226,4834211,4850629,4952328,5212446,5692891,5611294
Pakistan,PAK,29.9734600255474,69.4139980631813,1358094,1357806,1238956,1408941,1369670,1376875,1531180,1504424,1662638,1441107,1390357,1453342,1474153,1730178,1660907,1760973,1712650,2037138,1759335,1896409,1769173,1859006
United States of America,USA,39.5015541259931,-99.0602406280213,16111,12490,18374,41,23,34,35,16,98,32,118,95,72,140,133,107,197,780,622,433,6086,16247
China,CPR,36.6094323800447,103.865365256658,9485225,8701243,8975333,8934767,8450064,8851562,8640181,8552006,8031248,6969158,6711630,6528241,6553757,5715411,4981041,5106905,5681906,5696529,5782849,5933865,6054761,6275650
Eastern Africa,ETH,8.65399918813263,39.5512557929378,-1325020,-1316720,-1082121,-1675212,-1611212,-1840083,-1507150,-1719879,-1419442,-1927075,-2271017,-1670731,-2489900,-2618226,-2533074,-2837666,-2539105,-1137155,-1278832,-569425,-1950218,-2694230
Middle Africa,AGO,-12.2915534387057,17.5029119215871,30910,-9812,60798,-10961,-78358,-35243,68939,22873,93172,645,123244,103842,132607,120927,188442,-118595,33966,59932,-20219,120378,61625,136347
Northern Africa,EGY,26.5066199997495,29.8444615131244,-9811169,-10333927,-9025438,-9400270,-13028595,-10146728,-11482766,-11876653,-8808316,-11923307,-8743951,-13412641,-13030184,-11752158,-13177921,-11400468,-10470428,-13431594,-11325949,-11172183,-13706507,-15514613
Southern Africa,ZAF,-28.9621061911244,25.1173962123943,-1830547,-1442878,-1900451,-1828185,-1673606,-2432470,-2337669,-2407565,-2306983,-3035257,-2153570,-1943728,-1694254,-1740622,-2116008,-1997265,-1786438,-1896307,-1807293,-1437713,-1652725,-2197517
Western Africa,NGA,9.54831841820997,7.99512775408979,10880,29874,-46244,103297,-18871,61304,527218,-63272,69818,-46735,161542,3421,-110894,209609,257073,67913,-52918,210362,175685,-44849,189173,281581
Central America,MEX,23.9353719022448,-102.576349523987,-3362939,-3027644,-3455781,-3876117,-2778558,-2489765,-1439308,-1484756,-1735050,-1129023,-1299229,-1082055,-696744,-765950,-1337673,-1681581,-2555050,-2731371,-1471236,-1439625,-622687,-1408185
Caribbean,CUB,21.6317515410252,-78.9606849097026,146627,71655,-24639,36935,30153,181723,158679,181970,194275,225052,17987,72918,-33431,192897,92118,67986,124889,140993,104276,130773,97437,135839
Eastern Asia,JPN,36.019075365944,136.881947315984,-645625,-192410,1200684,-1813485,-1071075,-138326,-97337,249748,188506,-524259,-293355,-416734,-545878,-937235,-817124,-1365320,-1350980,-2781006,-1420478,-1571413,-894790,-673754
Southern Asia,IRN,32.5189173176254,54.2854514968914,-12620770,-13312127,-14621530,-12930263,-13295180,-13527173,-15472581,-12712444,-11360972,-11270575,-14674769,-16342907,-18691589,-18183081,-17465390,-17741284,-14292622,-12259836,-17013352,-17348213,-13997014,-14495121
