Country,ISO3.Code,LAT,LON,Value.Misc.1992,Value.Misc.1993,Value.Misc.1994,Value.Misc.1995,Value.Misc.1996,Value.Misc.1997,Value.Misc.1998,Value.Misc.1999,Value.Misc.2000,Value.Misc.2001,Value.Misc.2002,Value.Misc.2003,Value.Misc.2004,Value.Misc.2005,Value.Misc.2006,Value.Misc.2007,Value.Misc.2008,Value.Misc.2009,Value.Misc.2010,Value.Misc.2011,Value.Misc.2012,Value.Misc.2013
Northern America,CAN,57.7487688035733,-101.569822125212,171202,162802,140288,157936,162923,141846,202877,246359,292697,299407,305873,262225,238483,177795,123789,369361,456508,797622,874165,695422,803461,688245
South America,BRA,-10.8067736434989,-53.0543400357671,1029331,1051142,1129470,1103277,1249444,1153197,1258839,1332897,1277286,1547486,1504677,1516949,1488308,1420085,1507273,1554838,1653890,1492660,1657816,1557425,1498606,1611680
Central Asia,UZB,41.7486026646522,63.2036395282317,2160513,1621516,863560,803779,887475,1128369,989963,1236674,1358900,1362659,1469140,1516256,1539248,1757708,2018503,2120138,1913075,2165755,2316713,2604233,2039177,1994206
Eastern Europe,POL,52.1482602193319,19.3110143084487,4160762,5088891,4689781,3646522,2809529,3060112,2913344,2763656,2741563,3079297,3279487,2726263,4368202,3268891,3046485,3300862,4944970,3162266,3825536,3997018,3525501,5115860
Northern Europe,GBR,53.8833587148482,-2.65799297938563,1669292,1557965,1739592,1946241,2380975,2001419,1891275,1592226,2284329,1687335,2145218,1689472,1734141,1584460,1764542,1913850,2571979,2116995,2456898,2248920,2084764,2324106
Western Europe,NLD,52.2987003744418,5.5122171009654,2838467,2757975,3061454,3238370,3375753,3739773,4025640,4229473,4253456,4552470,4633000,4988732,5104117,6017486,6900772,6547573,6606079,8193680,8233007,8605368,8821492,9246470
Oceania,NZL,-43.9858177329728,170.513011374997,624395,719895,698703,805961,895432,865809,862356,871695,978692,960221,890894,1241993,1044026,1140477,892144,966990,1077675,1124411,1150119,1311436,1394288,1360172
Russian Federation,RUS,61.6925647074082,99.2165267869251,2294391,1729760,1037599,1340671,923707,313671,538746,1238086,1688209,1249508,1219359,586614,1454134,1026027,868335,1314148,1138122,1350048,869247,1113345,945502,1355790
India,IND,22.9250064074085,79.5937037632538,1669999,1716000,1795002,1973002,1860000,2080002,1990000,2138999,2291191,2240466,2304165,2243879,2927894,2788184,3771701,3924226,4834211,4850629,4952328,5212446,5692891,5611294
Pakistan,PAK,29.9734600255474,69.4139980631813,1358094,1357806,1238956,1408941,1369670,1376875,1531180,1504424,1662638,1441107,1390357,1453342,1474153,1730178,1660907,1760973,1712650,2037138,1759335,1896409,1769173,1859006
United States of America,USA,39.5015541259931,-99.0602406280213,16111,12490,18374,41,23,34,35,16,98,32,118,95,72,140,133,107,197,780,622,433,6086,16247
China,CPR,36.6094323800447,103.865365256658,9485225,8701243,8975333,8934767,8450064,8851562,8640181,8552006,8031248,6969158,6711630,6528241,6553757,5715411,4981041,5106905,5681906,5696529,5782849,5933865,6054761,6275650
Eastern Africa,ETH,8.65399918813263,39.5512557929378,-1325020,-1301331,-1066855,-1659083,-1592143,-1822351,-1488559,-1701847,-1401365,-1904514,-2249674,-1646983,-2465489,-2587510,-2502553,-2805642,-2509600,-1100092,-1241336,-532388,-1906349,-2643781
Middle Africa,AGO,-12.2915534387057,17.5029119215871,30910,-9757,60862,-10879,-78280,-35151,69051,22953,93243,717,123329,103916,132652,121008,188507,-118465,34094,60086,-20075,120445,61903,136715
Northern Africa,EGY,26.5066199997495,29.8444615131244,-9811169,-10241050,-8908920,-9307351,-12856811,-10043188,-11335864,-11761331,-8710705,-11792995,-8622405,-13239917,-12854130,-11595743,-12985836,-11265204,-10326793,-13230166,-11167112,-10983409,-13526977,-15305278
Southern Africa,ZAF,-28.9621061911244,25.1173962123943,-1830547,-1422893,-1881850,-1808229,-1646101,-2407773,-2318391,-2390036,-2282503,-3009641,-2128818,-1927933,-1677134,-1721318,-2094762,-1978050,-1764950,-1876524,-1792662,-1417293,-1633318,-2178525
Western Africa,NGA,9.54831841820997,7.99512775408979,10880,30266,-45837,103856,-18334,62080,528395,-62054,70724,-46066,162168,4118,-110087,210413,257957,68529,-52129,211433,177134,-42801,190691,282787
Central America,MEX,23.9353719022448,-102.576349523987,-3362939,-2991569,-3414003,-3841166,-2744562,-2452959,-1406801,-1454455,-1700015,-1096165,-1266769,-1054807,-673427,-735676,-1303866,-1646399,-2514830,-2690182,-1434445,-1403324,-589919,-1374586
Caribbean,CUB,21.6317515410252,-78.9606849097026,146627,71655,-24639,36935,30153,181723,158679,181970,194275,225052,17987,72918,-33431,192897,92118,67986,124889,140993,104276,130773,97437,135839
Eastern Asia,JPN,36.019075365944,136.881947315984,-645625,-180285,1210823,-1805129,-1063032,-129144,-88026,258272,197299,-514606,-282338,-404861,-534043,-925747,-805426,-1353100,-1338216,-2768505,-1409319,-1557884,-880449,-661013
Southern Asia,IRN,32.5189173176254,54.2854514968914,-12620770,-13165997,-14472035,-12775398,-13148208,-13374355,-15296654,-12570777,-11235169,-11131710,-14494769,-16145202,-18495598,-17973157,-17263831,-17515057,-14162665,-12052422,-16808452,-17200374,-13829939,-14320563
